# blastp
# Iteration: 0
# Query: Pii-2
# RID: FBYAK72X114
# Database: n/a
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 104 hits found
Pii-2	I1IWZ3_BRADI	26.923	130	76	3	953	1065	98	225	1.22e-08	49.7	44.62
Pii-2	I1IWZ0_BRADI	26.923	130	76	3	953	1065	102	229	1.23e-08	49.7	44.62
Pii-2	A0A0E0IJ87_ORYNI	25.561	223	135	11	874	1068	11	230	5.27e-08	47.8	39.91
Pii-2	A0A0D3FUY9_9ORYZ	26.702	191	114	10	901	1068	27	214	7.43e-08	47.4	41.88
Pii-2	A0A0E0IJ88_ORYNI	26.702	191	114	10	901	1068	27	214	1.06e-07	46.6	41.88
Pii-2	B8AT18_ORYSI	26.702	191	114	10	901	1068	27	214	1.08e-07	46.6	41.88
Pii-2	Q0JDT2_ORYSJ	27.857	140	84	7	943	1068	78	214	1.64e-07	46.2	47.14
Pii-2	Os04g0379600(OsRIN4d)	27.857	140	84	7	943	1068	78	214	1.64e-07	46.2	47.14
Pii-2	A0A0E0P840_ORYRU	27.857	140	84	7	943	1068	78	214	2.00e-07	45.8	47.14
Pii-2	A0A446MBM1_TRITD	25.150	167	96	4	911	1068	54	200	4.25e-07	44.7	39.52
Pii-2	A0A446L2A0_TRITD	23.699	173	112	6	911	1068	54	221	4.54e-07	45.1	41.62
Pii-2	A0A0E0DD96_9ORYZ	26.744	172	103	9	901	1052	27	195	5.13e-07	44.7	42.44
Pii-2	A0A3B6AZB6_WHEAT	23.699	173	112	6	911	1068	54	221	5.65e-07	44.7	41.62
Pii-2	A0A0D9ZJS7_9ORYZ	27.857	140	84	7	943	1068	78	214	5.83e-07	44.3	46.43
Pii-2	A0A453BUG7_AEGTS	24.370	119	80	3	958	1068	110	226	6.86e-07	44.3	46.22
Pii-2	A0A453BUK4_AEGTS	24.370	119	80	3	958	1068	114	230	7.74e-07	44.3	46.22
Pii-2	A0A453BUE9_AEGTS	24.370	119	80	3	958	1068	105	221	8.20e-07	44.3	46.22
Pii-2	A0A3B6DGK2_WHEAT	24.370	119	80	3	958	1068	105	221	8.20e-07	44.3	46.22
Pii-2	A0A453BUF3_AEGTS	24.370	119	80	3	958	1068	105	221	8.20e-07	44.3	46.22
Pii-2	A0A453BUJ6_AEGTS	24.370	119	80	3	958	1068	105	221	8.28e-07	44.3	46.22
Pii-2	A0A1E5UV79_9POAL	24.516	155	101	4	920	1068	76	220	9.98e-07	43.9	40.00
Pii-2	A0A446L280_TRITD	25.150	167	95	5	911	1068	54	199	1.13e-06	43.5	41.32
Pii-2	A0A3L6PYJ8_PANMI	24.823	141	96	5	936	1068	86	224	2.23e-06	42.7	45.39
Pii-2	A0A3L6Q7J5_PANMI	24.841	157	100	5	920	1068	78	224	3.02e-06	42.7	40.76
Pii-2	A0A446MBF2_TRITD	23.121	173	113	6	911	1068	63	230	3.72e-06	42.4	40.46
Pii-2	A0A446MBI8_TRITD	23.121	173	113	6	911	1068	63	230	4.04e-06	42.0	40.46
Pii-2	A0A446MBB5_TRITD	23.121	173	113	6	911	1068	54	221	4.16e-06	42.0	40.46
Pii-2	A0A3B6C6C1_WHEAT	23.121	173	113	6	911	1068	54	221	4.16e-06	42.0	40.46
Pii-2	J3LX52_ORYBR	23.280	189	118	9	895	1068	34	210	5.24e-06	41.6	43.92
Pii-2	A0A0E0KPL9_ORYPU	25.862	174	107	9	906	1068	51	213	1.91e-05	39.7	43.10
Pii-2	A0A446L2F0_TRITD	24.752	101	70	2	958	1054	114	212	2.84e-05	39.3	47.52
